id,word_count,response_preview
P01,38,"I usually start by reviewing whatever documentation exists, ..."
P02,37,The hardest part is getting engineers to understand why we n...
P03,33,We run two-week sprints and research keeps getting squeezed ...
P04,32,Recruiting is always the bottleneck. We spend more time find...
P05,34,Nobody invites me into the research phase. I find out what u...
P06,28,I've started doing five-minute hallway tests with anyone I c...
P07,34,The synthesis step is where we lose people. Everyone attends...
P08,34,My biggest frustration is that research findings don't trans...
P09,26,I find it really hard to push back when someone senior says ...
P10,32,Remote sessions have actually improved our geographic divers...
P11,29,I've been trying to introduce plain language principles but ...
P12,32,We don't have a dedicated researcher on my team so I end up ...
P13,41,The gap between what users say they do and what they actuall...
P14,28,I'm spending more time writing reports that nobody reads tha...
P15,30,Our design system has made things more consistent but it's a...
P16,32,I've started including a confidence rating in my recommendat...
P17,42,Accessibility keeps getting treated as a compliance checklis...
P18,37,Error messages are the last thing anyone thinks about and th...
P19,27,I struggle with knowing when I have enough data. There's alw...
P20,39,The most useful thing research has done for us is help us st...
P21,37,We've been using AI to help with transcript analysis and it ...
P22,31,Onboarding is where our product falls apart and everyone kno...
P23,34,I've been pushing for a terminology audit across the product...
P24,32,The best sessions I run are the ones where I say almost noth...
P25,33,We did a diary study last year and the data was incredible b...
